seed,target,attack,fpr,tpr
1,Non-private (overfit),yeom_neg_loss,0.004436687330978612,0.004166666666666667
1,Non-private (overfit),yeom_neg_loss,0.004747561378997425,0.004166666666666667
1,Non-private (overfit),yeom_neg_loss,0.005080218046913023,0.004583333333333333
1,Non-private (overfit),yeom_neg_loss,0.005436183620153837,0.004583333333333333
1,Non-private (overfit),yeom_neg_loss,0.005817091329374358,0.005416666666666667
1,Non-private (overfit),yeom_neg_loss,0.006224688843995439,0.005833333333333334
1,Non-private (overfit),yeom_neg_loss,0.006660846290809154,0.005833333333333334
1,Non-private (overfit),yeom_neg_loss,0.007127564834438914,0.005833333333333334
1,Non-private (overfit),yeom_neg_loss,0.007626985859023444,0.005833333333333334
1,Non-private (overfit),yeom_neg_loss,0.008161400793251826,0.006666666666666667
1,Non-private (overfit),yeom_neg_loss,0.008733261623828438,0.0075
1,Non-private (overfit),yeom_neg_loss,0.009345192145605374,0.008333333333333333
1,Non-private (overfit),yeom_neg_loss,0.01,0.008333333333333333
1,Non-private (overfit),yeom_neg_loss,0.010700689556931747,0.010416666666666666
1,Non-private (overfit),yeom_neg_loss,0.011450475699382817,0.010833333333333334
1,Non-private (overfit),yeom_neg_loss,0.012252798573828645,0.010833333333333334
1,Non-private (overfit),yeom_neg_loss,0.013111339374215644,0.01125
1,Non-private (overfit),yeom_neg_loss,0.014030037231905735,0.01125
1,Non-private (overfit),yeom_neg_loss,0.015013107289081735,0.0125
1,Non-private (overfit),yeom_neg_loss,0.01606506003853728,0.012916666666666667
1,Non-private (overfit),yeom_neg_loss,0.017190722018585746,0.014583333333333334
1,Non-private (overfit),yeom_neg_loss,0.01839525795803971,0.014583333333333334
1,Non-private (overfit),yeom_neg_loss,0.019684194472866123,0.015
1,Non-private (overfit),yeom_neg_loss,0.02106344542324121,0.017916666666666668
1,Non-private (overfit),yeom_neg_loss,0.022539339047347912,0.018333333333333333
1,Non-private (overfit),yeom_neg_loss,0.024118646996409972,0.020416666666666666
1,Non-private (overfit),yeom_neg_loss,0.02580861540418074,0.02125
1,Non-private (overfit),yeom_neg_loss,0.02761699813343848,0.0225
1,Non-private (overfit),yeom_neg_loss,0.029552092352028863,0.024166666666666666
1,Non-private (overfit),yeom_neg_loss,0.03162277660168379,0.02625
1,Non-private (overfit),yeom_neg_loss,0.033838551534282335,0.03
1,Non-private (overfit),yeom_neg_loss,0.03620958350245917,0.035
1,Non-private (overfit),yeom_neg_loss,0.03874675120456132,0.03958333333333333
1,Non-private (overfit),yeom_neg_loss,0.04146169559796819,0.042916666666666665
1,Non-private (overfit),yeom_neg_loss,0.044366873309786115,0.044583333333333336
1,Non-private (overfit),yeom_neg_loss,0.047475613789974204,0.04625
1,Non-private (overfit),yeom_neg_loss,0.05080218046913023,0.05291666666666667
1,Non-private (overfit),yeom_neg_loss,0.05436183620153837,0.058333333333333334
1,Non-private (overfit),yeom_neg_loss,0.058170913293743576,0.060833333333333336
